日期,设备ID,温度,振动,噪音,轴承温度,润滑压力,电流,电压,转速,效率
2025-01-01,EM001,42.0,1.20,72.0,64.5,3.50,18.0,380.5,1450,0.92
2025-01-08,EM001,42.2,1.22,72.3,64.8,3.49,18.1,380.4,1450,0.92
2025-01-15,EM001,42.5,1.25,72.5,65.0,3.48,18.2,380.3,1449,0.91
2025-01-22,EM001,42.8,1.28,72.8,65.3,3.47,18.3,380.2,1449,0.91
2025-01-29,EM001,43.0,1.30,73.0,65.5,3.46,18.4,380.1,1448,0.91
2025-02-05,EM001,43.3,1.33,73.3,65.8,3.45,18.5,380.0,1448,0.90
2025-02-12,EM001,43.5,1.35,73.5,66.0,3.44,18.6,379.9,1447,0.90
2025-02-19,EM001,43.8,1.38,73.8,66.3,3.43,18.7,379.8,1447,0.90
2025-02-26,EM001,44.0,1.40,74.0,66.5,3.42,18.8,379.7,1446,0.89
2025-03-05,EM001,44.3,1.43,74.3,66.8,3.41,18.9,379.6,1446,0.89
2025-03-12,EM001,44.5,1.45,74.5,67.0,3.40,19.0,379.5,1445,0.89
2025-03-19,EM001,44.8,1.48,74.8,67.3,3.39,19.1,379.4,1445,0.88
2025-03-26,EM001,45.0,1.50,75.0,67.5,3.38,19.2,379.3,1444,0.88
2025-04-02,EM001,45.3,1.53,75.3,67.8,3.37,19.3,379.2,1444,0.88
2025-04-09,EM001,45.5,1.55,75.5,68.0,3.36,19.4,379.1,1443,0.87
2025-04-16,EM001,45.8,1.58,75.8,68.3,3.35,19.5,379.0,1443,0.87
2025-04-23,EM001,46.0,1.60,76.0,68.5,3.34,19.6,378.9,1442,0.87
2025-04-30,EM001,46.3,1.63,76.3,68.8,3.33,19.7,378.8,1442,0.86
2025-05-07,EM001,46.5,1.65,76.5,69.0,3.32,19.8,378.7,1441,0.86
2025-05-14,EM001,46.8,1.68,76.8,69.3,3.31,19.9,378.6,1441,0.86
2025-05-21,EM001,47.0,1.70,77.0,69.5,3.30,20.0,378.5,1440,0.85
2025-05-28,EM001,47.3,1.73,77.3,69.8,3.29,20.1,378.4,1440,0.85
2025-06-04,EM001,47.5,1.75,77.5,70.0,3.28,20.2,378.3,1439,0.85
2025-06-11,EM001,47.8,1.78,77.8,70.3,3.27,20.3,378.2,1439,0.84
2025-06-18,EM001,48.0,1.80,78.0,70.5,3.26,20.4,378.1,1438,0.84
2025-06-25,EM001,48.3,1.83,78.3,70.8,3.25,20.5,378.0,1438,0.84
2025-07-02,EM001,48.5,1.85,78.5,71.0,3.24,20.6,377.9,1437,0.83
2025-07-09,EM001,48.8,1.88,78.8,71.3,3.23,20.7,377.8,1437,0.83
2025-07-16,EM001,49.0,1.90,79.0,71.5,3.22,20.8,377.7,1436,0.83
2025-07-23,EM001,49.3,1.93,79.3,71.8,3.21,20.9,377.6,1436,0.82
2025-07-30,EM001,49.5,1.95,79.5,72.0,3.20,21.0,377.5,1435,0.82
2025-08-06,EM001,49.8,1.98,79.8,72.3,3.19,21.1,377.4,1435,0.82
2025-08-13,EM001,50.0,2.00,80.0,72.5,3.18,21.2,377.3,1434,0.81
2025-08-20,EM001,50.3,2.03,80.3,72.8,3.17,21.3,377.2,1434,0.81
2025-08-27,EM001,50.5,2.05,80.5,73.0,3.16,21.4,377.1,1433,0.81
2025-09-03,EM001,50.8,2.08,80.8,73.3,3.15,21.5,377.0,1433,0.80
2025-09-10,EM001,51.0,2.10,81.0,73.5,3.14,21.6,376.9,1432,0.80
2025-09-17,EM001,51.3,2.13,81.3,73.8,3.13,21.7,376.8,1432,0.80
2025-09-24,EM001,51.5,2.15,81.5,74.0,3.12,21.8,376.7,1431,0.79
2025-10-01,EM001,51.8,2.18,81.8,74.3,3.11,21.9,376.6,1431,0.79
2025-10-08,EM001,52.0,2.20,82.0,74.5,3.10,22.0,376.5,1430,0.79
2025-10-15,EM001,52.3,2.23,82.3,74.8,3.09,22.1,376.4,1430,0.78
2025-10-22,EM001,52.5,2.25,82.5,75.0,3.08,22.2,376.3,1429,0.78
2025-10-29,EM001,52.8,2.28,82.8,75.3,3.07,22.3,376.2,1429,0.78
2025-11-05,EM001,53.0,2.30,83.0,75.5,3.06,22.4,376.1,1428,0.77
2025-11-12,EM001,53.3,2.33,83.3,75.8,3.05,22.5,376.0,1428,0.77
2025-11-19,EM001,53.5,2.35,83.5,76.0,3.04,22.6,375.9,1427,0.77
2025-11-26,EM001,53.8,2.38,83.8,76.3,3.03,22.7,375.8,1427,0.76
2025-12-03,EM001,54.0,2.40,84.0,76.5,3.02,22.8,375.7,1426,0.76
2025-12-10,EM001,54.3,2.43,84.3,76.8,3.01,22.9,375.6,1426,0.76
2025-12-17,EM001,54.5,2.45,84.5,77.0,3.00,23.0,375.5,1425,0.75
2025-12-24,EM001,54.8,2.48,84.8,77.3,2.99,23.1,375.4,1425,0.75
2025-12-31,EM001,55.0,2.50,85.0,77.5,2.98,23.2,375.3,1424,0.75
