时间,CH1,CH2,CH3,CH4
0.0000,0.0000,0.0000,0.0000,0.0000
0.0001,0.0125,0.0150,0.0100,0.0080
0.0002,0.0250,0.0300,0.0195,0.0155
0.0003,0.0375,0.0450,0.0285,0.0225
0.0004,0.0500,0.0600,0.0370,0.0290
0.0005,0.0625,0.0750,0.0450,0.0345
0.0006,0.0750,0.0900,0.0520,0.0395
0.0007,0.0875,0.1050,0.0580,0.0435
0.0008,0.1000,0.1200,0.0630,0.0470
0.0009,0.1125,0.1350,0.0670,0.0495
0.0010,0.1250,0.1500,0.0700,0.0510
# 为简洁起见省略了中间数据
1.0000,0.8090,0.9511,0.7568,0.6235
2.0000,-0.8090,-0.9511,-0.7568,-0.6235
2.5000,0.0000,0.0000,1.5000,0.0000
3.0000,0.8090,0.9511,0.7568,0.6235
4.0000,-0.8090,-0.9511,-0.7568,-0.6235
5.0000,0.8090,0.9511,0.7568,0.6235
6.0000,-0.8090,-0.9511,-0.7568,-0.6235
7.0000,0.8090,0.9511,0.7568,0.6235
7.8000,0.4545,0.5878,0.3989,0.3245
8.0000,-0.8090,-0.9511,-0.7568,-0.6235
9.0000,0.8090,0.9511,0.7568,0.6235
10.0000,-0.8090,-0.9511,-0.7568,-0.6235
